latitude,longitude,population,land_use,dist_river_m,dist_road_m
2.6549999999999985,101.69399999999919,0.9628863,1.0,571.8357058963614,117.69784051934813
2.6549999999999985,101.69899999999919,0.9412269,1.0,1101.4548587047834,202.92434042345457
2.6549999999999985,101.70399999999918,1.5917716,7.0,1640.476271167193,10.718980893542309
2.6549999999999985,101.70899999999918,1.5484278,7.0,1693.4363931946757,145.391053995492
2.6549999999999985,101.71399999999917,1.5604454,7.0,1247.2487201574115,6.21668766432244
2.6549999999999985,101.71899999999917,1.773413,1.0,824.7386522273727,158.37048690834553
2.6549999999999985,101.72399999999917,2.4092567,6.0,350.99558627428877,77.09676070914429
2.6549999999999985,101.72899999999916,2.8545997,7.0,298.03320058217383,0.032719623691404985
2.6549999999999985,101.73399999999916,1.6354775,7.0,108.16688367460686,15.054243578162302
2.6549999999999985,101.73899999999915,2.771851,1.0,185.01217844144455,45.96255871983739
2.6549999999999985,101.74399999999915,1.2592221,8.0,14.208563703368052,136.37344464569063
2.6599999999999984,101.54899999999932,7.2422776,1.0,738.4726028615673,25.192794824127592
2.6599999999999984,101.55399999999932,15.74356,3.0,235.75862052291768,23.161036606388077
2.6599999999999984,101.55899999999932,17.698786,8.0,254.4549710827689,1.9217279361122974
2.6599999999999984,101.56399999999931,19.683474,8.0,628.0261031171866,9.07310080087228
2.6599999999999984,101.5689999999993,11.746784,6.0,71.71264835306249,21.45749725155742
2.6599999999999984,101.5739999999993,4.9365535,8.0,484.8242872183273,134.4790480800976
2.6599999999999984,101.5789999999993,3.7730715,8.0,1041.3583688870617,32.52065155087942
2.6599999999999984,101.58399999999929,1.8146319,1.0,1597.9069399424782,52.00256350069006
2.6599999999999984,101.58899999999929,1.2960252,1.0,2154.4709150539097,33.21377802727962
2.6599999999999984,101.59399999999928,2.099203,1.0,2710.9385329613383,61.31762361988819
2.6599999999999984,101.59899999999928,2.0967143,1.0,2380.7392644747633,15.178233367472313
2.6599999999999984,101.60399999999927,0.59741336,1.0,2105.4767738177397,79.30009835891445
2.6599999999999984,101.60899999999927,0.7509277,1.0,1792.3431036592824,40.30648132981279
2.6599999999999984,101.61399999999927,0.5593413,1.0,1398.7228620678256,87.00835294957501
2.6599999999999984,101.61899999999926,0.88682944,7.0,1149.052329361362,19.053131648630263
2.6599999999999984,101.62399999999926,0.6198834,1.0,1142.0030599471966,294.0665979032876
2.6599999999999984,101.62899999999925,0.3676511,1.0,1381.291142172304,850.7827730811059
2.6599999999999984,101.63399999999925,0.46571133,1.0,1769.6593855654296,1233.7710307339803
2.6599999999999984,101.63899999999924,0.48421535,1.0,2230.5489831558125,1605.556476948248
2.6599999999999984,101.64399999999924,0.42726848,1.0,2402.38575045294,1580.777298317883
2.6599999999999984,101.64899999999923,0.48422357,1.0,2669.576542268504,1441.0948385282218
2.6599999999999984,101.65399999999923,0.52818567,7.0,3016.907529934268,1061.9715921859474
2.6599999999999984,101.65899999999922,0.5949162,1.0,2825.9287488387517,773.8427133124441
2.6599999999999984,101.66399999999922,1.1942668,1.0,2287.3963978020333,346.63743167110994
2.6599999999999984,101.66899999999922,3.7908547,1.0,1750.011838933902,55.57405186354472
2.6599999999999984,101.67399999999921,4.213233,1.0,1227.4187835857813,27.13117660126357
2.6599999999999984,101.6789999999992,2.195834,7.0,719.3455808475743,2.99561441420241
